"l2","year","median","lo90","hi90","lo50","hi50"
"L2-06: Time Series & Sequence Analysis",2010,5.0150343,3.89227935,6.09796421,4.54680945,5.469611675
"L2-06: Time Series & Sequence Analysis",2011,5.12478675,4.05920975,6.11645021,4.6726721,5.5317344
"L2-06: Time Series & Sequence Analysis",2012,5.23779235,4.25957628,6.208221555,4.8299928,5.63901215
"L2-06: Time Series & Sequence Analysis",2013,5.35567135,4.444103275,6.252775265,4.97596145,5.736170275
"L2-06: Time Series & Sequence Analysis",2014,5.4598272,4.59242029,6.295142385,5.108029,5.811118075
"L2-06: Time Series & Sequence Analysis",2015,5.53579865,4.72099647,6.31333132,5.20068,5.853030925
"L2-06: Time Series & Sequence Analysis",2016,5.68725175,4.93096578,6.43057845,5.3783774,5.9964546
"L2-06: Time Series & Sequence Analysis",2017,5.79699435,5.079566195,6.503078175,5.49959335,6.0899942
"L2-06: Time Series & Sequence Analysis",2018,5.8479324,5.14555154,6.539811275,5.556102875,6.138229775
"L2-06: Time Series & Sequence Analysis",2019,5.94603275,5.255744545,6.616466155,5.662584925,6.226201125
"L2-06: Time Series & Sequence Analysis",2020,6.03306745,5.29671845,6.706018515,5.7362924,6.31544255
"L2-06: Time Series & Sequence Analysis",2021,6.15516075,5.39945593,6.838345085,5.8482882,6.4373587
"L2-06: Time Series & Sequence Analysis",2022,6.20219085,5.418341565,6.917185575,5.888410925,6.502407625
"L2-06: Time Series & Sequence Analysis",2023,6.2552279,5.404220795,7.02548008,5.901470675,6.585747875
"L2-06: Time Series & Sequence Analysis",2024,6.3181759,5.42037139,7.09662541,5.9519594,6.662360975
"L2-06: Time Series & Sequence Analysis",2025,6.33044865,5.364246105,7.129171225,5.9393087,6.692708625
"L2-07: Chronological Modelling & Dating",2010,7.6611769,6.26543845,9.053420725,7.077698325,8.23921995
"L2-07: Chronological Modelling & Dating",2011,7.8286863,6.45629689,9.16920326,7.255416125,8.39916585
"L2-07: Chronological Modelling & Dating",2012,7.7877117,6.443269185,9.101282625,7.23339315,8.34069475
"L2-07: Chronological Modelling & Dating",2013,7.8020189,6.50455226,9.06605149,7.275274875,8.328672575
"L2-07: Chronological Modelling & Dating",2014,7.8121912,6.57396834,9.01605182,7.312200775,8.3125353
"L2-07: Chronological Modelling & Dating",2015,7.72388615,6.53692202,8.940108,7.235695,8.21407495
"L2-07: Chronological Modelling & Dating",2016,7.61320325,6.49280628,8.741944795,7.159928275,8.07278405
"L2-07: Chronological Modelling & Dating",2017,7.44659615,6.40011728,8.518819745,7.012280625,7.880717625
"L2-07: Chronological Modelling & Dating",2018,7.2863582,6.282052135,8.30109495,6.860716725,7.70158835
"L2-07: Chronological Modelling & Dating",2019,7.2090896,6.2560914,8.169353145,6.809819125,7.610938875
"L2-07: Chronological Modelling & Dating",2020,6.93732745,6.008190695,7.92102523,6.5595582,7.3318103
"L2-07: Chronological Modelling & Dating",2021,7.00724415,6.072760285,8.009880005,6.6149385,7.410347175
"L2-07: Chronological Modelling & Dating",2022,6.7971319,5.793475165,7.83153689,6.38197385,7.20505605
"L2-07: Chronological Modelling & Dating",2023,6.53272405,5.565260925,7.58481451,6.12763455,6.946274875
"L2-07: Chronological Modelling & Dating",2024,6.39954195,5.42246989,7.466788435,5.988549,6.835099375
"L2-07: Chronological Modelling & Dating",2025,6.35526385,5.333894635,7.45761151,5.934769975,6.7991245
"L2-08: Spatial Statistics & Point Pattern Analysis",2010,6.24680755,4.848313655,7.41282954,5.709255675,6.7544553
"L2-08: Spatial Statistics & Point Pattern Analysis",2011,6.17270525,4.84284609,7.329602315,5.6523097,6.668117775
"L2-08: Spatial Statistics & Point Pattern Analysis",2012,6.0563112,4.82816287,7.14239301,5.5754908,6.528276225
"L2-08: Spatial Statistics & Point Pattern Analysis",2013,5.85162015,4.72262952,6.906536035,5.412448125,6.302776475
"L2-08: Spatial Statistics & Point Pattern Analysis",2014,5.70727815,4.71355999,6.679077065,5.292549025,6.115672575
"L2-08: Spatial Statistics & Point Pattern Analysis",2015,5.50174,4.620527065,6.391638235,5.1339661,5.876510125
"L2-08: Spatial Statistics & Point Pattern Analysis",2016,5.28334765,4.51918726,6.100955275,4.961517175,5.6223811
"L2-08: Spatial Statistics & Point Pattern Analysis",2017,5.12640075,4.444306235,5.876631815,4.8417213,5.4262636
"L2-08: Spatial Statistics & Point Pattern Analysis",2018,4.9094457,4.28830699,5.58250939,4.6494118,5.17634205
"L2-08: Spatial Statistics & Point Pattern Analysis",2019,4.7660266,4.222249095,5.385234125,4.535071725,5.013844125
"L2-08: Spatial Statistics & Point Pattern Analysis",2020,4.6224522,4.091746005,5.224610195,4.402920725,4.86035915
"L2-08: Spatial Statistics & Point Pattern Analysis",2021,4.4111274,3.922929295,4.97873698,4.198683075,4.636629625
"L2-08: Spatial Statistics & Point Pattern Analysis",2022,4.2805312,3.78234499,4.85864054,4.0729087,4.50951105
"L2-08: Spatial Statistics & Point Pattern Analysis",2023,4.04170215,3.568701175,4.59557121,3.8389092,4.25591395
"L2-08: Spatial Statistics & Point Pattern Analysis",2024,3.91877475,3.454904315,4.472191985,3.7237044,4.133202575
"L2-08: Spatial Statistics & Point Pattern Analysis",2025,3.8042996,3.32887367,4.384792975,3.6006266,4.02659145
"L2-09: GIS & Landscape Analysis",2010,4.30322295,3.434511355,5.4246141,3.916206975,4.7309066
"L2-09: GIS & Landscape Analysis",2011,4.33531855,3.522303215,5.338949085,3.967407075,4.7212711
"L2-09: GIS & Landscape Analysis",2012,4.38197705,3.61194652,5.30598116,4.0480946,4.734481925
"L2-09: GIS & Landscape Analysis",2013,4.50231155,3.77949804,5.35540144,4.186917675,4.8285794
"L2-09: GIS & Landscape Analysis",2014,4.63753995,3.94320312,5.431383185,4.3424875,4.946592875
"L2-09: GIS & Landscape Analysis",2015,4.6595031,4.001987255,5.367831705,4.3790742,4.943094
"L2-09: GIS & Landscape Analysis",2016,4.85221915,4.24223263,5.532656335,4.5962523,5.127180475
"L2-09: GIS & Landscape Analysis",2017,5.0863222,4.493911485,5.734857685,4.841766225,5.3312714
"L2-09: GIS & Landscape Analysis",2018,5.0482694,4.488768895,5.65718157,4.80935755,5.2976213
"L2-09: GIS & Landscape Analysis",2019,5.1514484,4.59826434,5.743444895,4.9180891,5.38333955
"L2-09: GIS & Landscape Analysis",2020,5.3646983,4.79891676,5.97115142,5.132039625,5.6049151
"L2-09: GIS & Landscape Analysis",2021,5.36134335,4.76791895,5.954639255,5.1235701,5.60849365
"L2-09: GIS & Landscape Analysis",2022,5.5456413,4.936513205,6.166034855,5.3007553,5.80129635
"L2-09: GIS & Landscape Analysis",2023,5.7983388,5.18835745,6.460066915,5.536688375,6.061189625
"L2-09: GIS & Landscape Analysis",2024,6.04344745,5.41714375,6.688166245,5.7808221,6.307773725
"L2-09: GIS & Landscape Analysis",2025,6.0400379,5.42000317,6.668171255,5.778552525,6.305062125
"L2-10: Remote Sensing & Satellite Imagery",2010,4.06578935,3.26947603,4.89704398,3.74110845,4.416457325
"L2-10: Remote Sensing & Satellite Imagery",2011,4.0663593,3.30495788,4.84876804,3.750513975,4.3891962
"L2-10: Remote Sensing & Satellite Imagery",2012,4.0130777,3.289554055,4.77378983,3.72146625,4.3235088
"L2-10: Remote Sensing & Satellite Imagery",2013,4.01017865,3.336194475,4.69893632,3.7338729,4.293389575
"L2-10: Remote Sensing & Satellite Imagery",2014,3.97553265,3.34566769,4.6207925,3.716092525,4.245465275
"L2-10: Remote Sensing & Satellite Imagery",2015,3.91983285,3.337413625,4.521795915,3.68731735,4.1675776
"L2-10: Remote Sensing & Satellite Imagery",2016,3.8777286,3.34258687,4.428121645,3.6499041,4.09629215
"L2-10: Remote Sensing & Satellite Imagery",2017,3.84538855,3.364443845,4.362791585,3.6429476,4.058835025
"L2-10: Remote Sensing & Satellite Imagery",2018,3.7984518,3.33710159,4.28293557,3.608537275,3.9921159
"L2-10: Remote Sensing & Satellite Imagery",2019,3.74327235,3.310298985,4.192496875,3.563875875,3.923179375
"L2-10: Remote Sensing & Satellite Imagery",2020,3.7612672,3.333141105,4.217059315,3.586328725,3.940070925
"L2-10: Remote Sensing & Satellite Imagery",2021,3.65492815,3.232503015,4.098321085,3.47616375,3.833131375
"L2-10: Remote Sensing & Satellite Imagery",2022,3.5777901,3.141221735,4.0422699,3.39719985,3.770571725
"L2-10: Remote Sensing & Satellite Imagery",2023,3.6958443,3.249147275,4.159835435,3.509740925,3.883125075
"L2-10: Remote Sensing & Satellite Imagery",2024,3.59767195,3.138442925,4.074881955,3.403933675,3.788455175
"L2-10: Remote Sensing & Satellite Imagery",2025,3.53534725,3.087620575,4.026578655,3.345640525,3.734132175
"L2-11: Geophysical Prospection",2010,2.80187405,2.18314538,3.4778363,2.540684975,3.09079285
"L2-11: Geophysical Prospection",2011,2.8113745,2.234341495,3.45216728,2.557059775,3.0768885
"L2-11: Geophysical Prospection",2012,2.823879,2.27802572,3.435490435,2.588405,3.073113625
"L2-11: Geophysical Prospection",2013,2.8252602,2.3126195,3.407906155,2.608517775,3.06288705
"L2-11: Geophysical Prospection",2014,2.82903275,2.355505435,3.369162605,2.6284559,3.04829195
"L2-11: Geophysical Prospection",2015,2.83592585,2.389171835,3.355837145,2.6468508,3.048487
"L2-11: Geophysical Prospection",2016,2.8358971,2.40810886,3.324006655,2.650338075,3.03238075
"L2-11: Geophysical Prospection",2017,2.8370362,2.43432291,3.30651237,2.663275875,3.030682125
"L2-11: Geophysical Prospection",2018,2.8305528,2.434459595,3.29078071,2.664032375,3.0231369
"L2-11: Geophysical Prospection",2019,2.8201101,2.425041655,3.276206855,2.653404175,3.011712975
"L2-11: Geophysical Prospection",2020,2.82299435,2.403323195,3.27225565,2.645231225,3.008015125
"L2-11: Geophysical Prospection",2021,2.8058461,2.377256945,3.272548985,2.62469215,2.999160775
"L2-11: Geophysical Prospection",2022,2.8024202,2.347017705,3.29461623,2.60925755,3.00559935
"L2-11: Geophysical Prospection",2023,2.8244095,2.327179265,3.34281526,2.61567655,3.0357806
"L2-11: Geophysical Prospection",2024,2.803883,2.26667455,3.34660969,2.5768765,3.034392825
"L2-11: Geophysical Prospection",2025,2.79694245,2.224421445,3.370114525,2.560876,3.03408235
"L2-12: Photogrammetry & 3D Reconstruction",2010,5.84021935,5.124663215,6.571081635,5.550225775,6.12211505
"L2-12: Photogrammetry & 3D Reconstruction",2011,5.8583434,5.205935355,6.52083412,5.607815825,6.125357875
"L2-12: Photogrammetry & 3D Reconstruction",2012,5.85710615,5.254212105,6.468471545,5.6177304,6.096473375
"L2-12: Photogrammetry & 3D Reconstruction",2013,5.8845263,5.314716805,6.44717701,5.6600532,6.10829275
"L2-12: Photogrammetry & 3D Reconstruction",2014,5.8371259,5.314003415,6.34561661,5.6305178,6.047808775
"L2-12: Photogrammetry & 3D Reconstruction",2015,5.78925685,5.307491565,6.25139243,5.59365115,5.9757045
"L2-12: Photogrammetry & 3D Reconstruction",2016,5.7943053,5.363100335,6.24410159,5.6175232,5.97569275
"L2-12: Photogrammetry & 3D Reconstruction",2017,5.69883515,5.286519765,6.102049165,5.533923075,5.867824825
"L2-12: Photogrammetry & 3D Reconstruction",2018,5.7258688,5.32869903,6.111080315,5.566492175,5.883443725
"L2-12: Photogrammetry & 3D Reconstruction",2019,5.6477957,5.29462343,5.99772613,5.504157175,5.7895049
"L2-12: Photogrammetry & 3D Reconstruction",2020,5.5461547,5.186772125,5.891782065,5.396675025,5.685750025
"L2-12: Photogrammetry & 3D Reconstruction",2021,5.47745705,5.121191225,5.829556335,5.3344082,5.62257395
"L2-12: Photogrammetry & 3D Reconstruction",2022,5.4374462,5.074587565,5.816717615,5.28532265,5.588681225
"L2-12: Photogrammetry & 3D Reconstruction",2023,5.37203205,4.9837313,5.771460175,5.214910875,5.535430975
"L2-12: Photogrammetry & 3D Reconstruction",2024,5.23730065,4.836333935,5.648998085,5.0664649,5.4061178
"L2-12: Photogrammetry & 3D Reconstruction",2025,5.29118635,4.85224344,5.738819105,5.107419025,5.475788925
"L2-13: Geometric Morphometrics",2010,2.6342828,2.0104489,3.481017865,2.35415395,2.962128375
"L2-13: Geometric Morphometrics",2011,2.527832,1.989387035,3.27201918,2.2853172,2.8089023
"L2-13: Geometric Morphometrics",2012,2.4046651,1.93169159,3.04897583,2.189031275,2.650511575
"L2-13: Geometric Morphometrics",2013,2.33114885,1.919424685,2.87929872,2.146844575,2.5365595
"L2-13: Geometric Morphometrics",2014,2.242668,1.892118565,2.718442425,2.08573045,2.419645125
"L2-13: Geometric Morphometrics",2015,2.1502922,1.84869921,2.551517615,2.017003675,2.30331155
"L2-13: Geometric Morphometrics",2016,2.07064215,1.80763267,2.407157095,1.950174125,2.19988855
"L2-13: Geometric Morphometrics",2017,1.99724535,1.76512645,2.285352045,1.896819725,2.1091549
"L2-13: Geometric Morphometrics",2018,1.9347268,1.730444935,2.191228525,1.8437837,2.03374065
"L2-13: Geometric Morphometrics",2019,1.8577806,1.674107975,2.080728885,1.7778134,1.9474466
"L2-13: Geometric Morphometrics",2020,1.8108587,1.632479265,2.03729952,1.7309912,1.8966549
"L2-13: Geometric Morphometrics",2021,1.78311065,1.603574415,2.006796055,1.70341745,1.86890975
"L2-13: Geometric Morphometrics",2022,1.72494715,1.54531513,1.945569715,1.644531725,1.81108875
"L2-13: Geometric Morphometrics",2023,1.6808455,1.500707995,1.907607575,1.6033464,1.765828075
"L2-13: Geometric Morphometrics",2024,1.6360149,1.46108196,1.86185795,1.557358525,1.72386675
"L2-13: Geometric Morphometrics",2025,1.6139236,1.43247562,1.856691,1.533097925,1.702769575
"L2-14: Computer Vision & Image Processing",2010,7.5514383,5.591423665,9.861941415,6.67906465,8.486835875
"L2-14: Computer Vision & Image Processing",2011,7.86966915,5.9571705,10.1106843,7.045263425,8.75462045
"L2-14: Computer Vision & Image Processing",2012,8.1567181,6.320241705,10.2077101,7.36003665,8.958039675
"L2-14: Computer Vision & Image Processing",2013,8.45548175,6.77183183,10.41468695,7.722414875,9.229841825
"L2-14: Computer Vision & Image Processing",2014,8.73492395,7.136197675,10.5146672,8.048357725,9.46081185
"L2-14: Computer Vision & Image Processing",2015,9.09261825,7.591147,10.7499495,8.460184225,9.7701021
